YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours)
2001,1,MO,"Combined Heat and Power, Industrial Power",Other Biomass,866
2001,1,MO,"Combined Heat and Power, Industrial Power",Total,"19,569"
2001,1,MS,Total Electric Power Industry,Coal,"1,581,792"
2001,1,MS,Total Electric Power Industry,Petroleum,"655,837"
2001,1,MS,Total Electric Power Industry,Natural Gas,"264,712"
2001,1,MS,Total Electric Power Industry,Nuclear,"946,566"
2001,1,MS,Total Electric Power Industry,Wood and Wood Derived Fuels,"114,638"
2001,1,MS,Total Electric Power Industry,Other Biomass,0
2001,1,MS,Total Electric Power Industry,Other,67
2001,1,MS,Total Electric Power Industry,Total,"3,563,612"
2001,1,MS,"Electric Generators, Electric Utilities",Coal,"1,581,792"
2001,1,MS,"Electric Generators, Electric Utilities",Petroleum,"650,758"
2001,1,MS,"Electric Generators, Electric Utilities",Natural Gas,"196,860"
2001,1,MS,"Electric Generators, Electric Utilities",Nuclear,"946,566"
2001,1,MS,"Electric Generators, Electric Utilities",Total,"3,375,976"
2001,1,MS,"Electric Generators, Independent Power Producers",Natural Gas,"8,348"
2001,1,MS,"Electric Generators, Independent Power Producers",Total,"8,348"
2001,1,MS,"Combined Heat and Power, Commercial Power",Petroleum,48
2001,1,MS,"Combined Heat and Power, Commercial Power",Natural Gas,643
2001,1,MS,"Combined Heat and Power, Commercial Power",Total,691
2001,1,MS,"Combined Heat and Power, Industrial Power",Petroleum,"5,031"
2001,1,MS,"Combined Heat and Power, Industrial Power",Natural Gas,"58,861"
2001,1,MS,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"114,638"
2001,1,MS,"Combined Heat and Power, Industrial Power",Other Biomass,0
2001,1,MS,"Combined Heat and Power, Industrial Power",Other,67
2001,1,MS,"Combined Heat and Power, Industrial Power",Total,"178,597"
2001,1,MT,Total Electric Power Industry,Coal,"1,584,887"
2001,1,MT,Total Electric Power Industry,Petroleum,"40,558"
2001,1,MT,Total Electric Power Industry,Natural Gas,"1,562"
2001,1,MT,Total Electric Power Industry,Hydroelectric Conventional,"668,675"
2001,1,MT,Total Electric Power Industry,Wood and Wood Derived Fuels,"5,112"
2001,1,MT,Total Electric Power Industry,Total,"2,300,794"
2001,1,MT,"Electric Generators, Electric Utilities",Coal,"27,980"
2001,1,MT,"Electric Generators, Electric Utilities",Petroleum,203
2001,1,MT,"Electric Generators, Electric Utilities",Natural Gas,72
2001,1,MT,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"425,158"
2001,1,MT,"Electric Generators, Electric Utilities",Total,"453,413"
2001,1,MT,"Electric Generators, Independent Power Producers",Coal,"1,556,907"
2001,1,MT,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"243,517"
2001,1,MT,"Electric Generators, Independent Power Producers",Total,"1,800,424"
2001,1,MT,"Combined Heat and Power, Electric Power",Petroleum,"40,355"
2001,1,MT,"Combined Heat and Power, Electric Power",Natural Gas,67
2001,1,MT,"Combined Heat and Power, Electric Power",Total,"40,422"
2001,1,MT,"Combined Heat and Power, Industrial Power",Natural Gas,"1,423"
2001,1,MT,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"5,112"
2001,1,MT,"Combined Heat and Power, Industrial Power",Total,"6,535"
2001,1,NC,Total Electric Power Industry,Coal,"6,622,628"
2001,1,NC,Total Electric Power Industry,Petroleum,"112,577"
2001,1,NC,Total Electric Power Industry,Natural Gas,"27,036"
2001,1,NC,Total Electric Power Industry,Other Gases,55
2001,1,NC,Total Electric Power Industry,Nuclear,"3,417,845"
2001,1,NC,Total Electric Power Industry,Hydroelectric Conventional,"146,363"
2001,1,NC,Total Electric Power Industry,Wood and Wood Derived Fuels,"136,160"
2001,1,NC,Total Electric Power Industry,Other Biomass,"21,130"
2001,1,NC,Total Electric Power Industry,Pumped Storage,0
2001,1,NC,Total Electric Power Industry,Other,"28,001"
2001,1,NC,Total Electric Power Industry,Total,"10,511,795"
2001,1,NC,"Electric Generators, Electric Utilities",Coal,"6,240,437"
2001,1,NC,"Electric Generators, Electric Utilities",Petroleum,"77,941"
2001,1,NC,"Electric Generators, Electric Utilities",Natural Gas,"3,600"
2001,1,NC,"Electric Generators, Electric Utilities",Nuclear,"3,417,845"
2001,1,NC,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"98,784"
2001,1,NC,"Electric Generators, Electric Utilities",Pumped Storage,0
2001,1,NC,"Electric Generators, Electric Utilities",Total,"9,838,607"
2001,1,NC,"Electric Generators, Independent Power Producers",Petroleum,12
2001,1,NC,"Electric Generators, Independent Power Producers",Natural Gas,"14,924"
2001,1,NC,"Electric Generators, Independent Power Producers",Other Gases,55
2001,1,NC,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,574
2001,1,NC,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"33,223"
2001,1,NC,"Electric Generators, Independent Power Producers",Other Biomass,"3,711"
2001,1,NC,"Electric Generators, Independent Power Producers",Other,"1,229"
2001,1,NC,"Electric Generators, Independent Power Producers",Total,"53,728"
2001,1,NC,"Combined Heat and Power, Electric Power",Coal,"282,646"
2001,1,NC,"Combined Heat and Power, Electric Power",Petroleum,"10,433"
2001,1,NC,"Combined Heat and Power, Electric Power",Natural Gas,"6,845"
2001,1,NC,"Combined Heat and Power, Electric Power",Other Biomass,"2,624"
2001,1,NC,"Combined Heat and Power, Electric Power",Total,"302,548"
2001,1,NC,"Combined Heat and Power, Commercial Power",Coal,"12,861"
2001,1,NC,"Combined Heat and Power, Commercial Power",Petroleum,618
2001,1,NC,"Combined Heat and Power, Commercial Power",Natural Gas,40
2001,1,NC,"Combined Heat and Power, Commercial Power",Hydroelectric Conventional,127
2001,1,NC,"Combined Heat and Power, Commercial Power",Total,"13,646"
2001,1,NC,"Combined Heat and Power, Industrial Power",Coal,"86,684"
2001,1,NC,"Combined Heat and Power, Industrial Power",Petroleum,"23,573"
2001,1,NC,"Combined Heat and Power, Industrial Power",Natural Gas,"1,627"
2001,1,NC,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,"46,878"
2001,1,NC,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"102,937"
2001,1,NC,"Combined Heat and Power, Industrial Power",Other Biomass,"14,794"
2001,1,NC,"Combined Heat and Power, Industrial Power",Other,"26,773"
2001,1,NC,"Combined Heat and Power, Industrial Power",Total,"303,266"
2001,1,ND,Total Electric Power Industry,Coal,"2,585,304"
2001,1,ND,Total Electric Power Industry,Petroleum,"4,275"
2001,1,ND,Total Electric Power Industry,Natural Gas,178
2001,1,ND,Total Electric Power Industry,Other Gases,"3,719"
2001,1,ND,Total Electric Power Industry,Hydroelectric Conventional,"156,620"
2001,1,ND,Total Electric Power Industry,Other Biomass,643
2001,1,ND,Total Electric Power Industry,Total,"2,750,739"
2001,1,ND,"Electric Generators, Electric Utilities",Coal,"2,575,677"
2001,1,ND,"Electric Generators, Electric Utilities",Petroleum,"1,969"
2001,1,ND,"Electric Generators, Electric Utilities",Natural Gas,-9
2001,1,ND,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"156,620"
2001,1,ND,"Electric Generators, Electric Utilities",Total,"2,734,257"
2001,1,ND,"Combined Heat and Power, Industrial Power",Coal,"9,627"
2001,1,ND,"Combined Heat and Power, Industrial Power",Petroleum,"2,306"
2001,1,ND,"Combined Heat and Power, Industrial Power",Natural Gas,187
2001,1,ND,"Combined Heat and Power, Industrial Power",Other Gases,"3,719"
2001,1,ND,"Combined Heat and Power, Industrial Power",Other Biomass,643
2001,1,ND,"Combined Heat and Power, Industrial Power",Total,"16,482"
2001,1,NE,Total Electric Power Industry,Coal,"1,871,573"
2001,1,NE,Total Electric Power Industry,Petroleum,"3,021"
2001,1,NE,Total Electric Power Industry,Natural Gas,"5,096"
2001,1,NE,Total Electric Power Industry,Nuclear,"935,874"
2001,1,NE,Total Electric Power Industry,Hydroelectric Conventional,"81,350"
2001,1,NE,Total Electric Power Industry,Wind,228
2001,1,NE,Total Electric Power Industry,Other Biomass,"1,574"
2001,1,NE,Total Electric Power Industry,Other,0
2001,1,NE,Total Electric Power Industry,Total,"2,898,716"
2001,1,NE,"Electric Generators, Electric Utilities",Coal,"1,868,029"
2001,1,NE,"Electric Generators, Electric Utilities",Petroleum,"2,299"
2001,1,NE,"Electric Generators, Electric Utilities",Natural Gas,"4,840"
2001,1,NE,"Electric Generators, Electric Utilities",Nuclear,"935,874"
2001,1,NE,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"81,350"
2001,1,NE,"Electric Generators, Electric Utilities",Wind,228
2001,1,NE,"Electric Generators, Electric Utilities",Other Biomass,0
2001,1,NE,"Electric Generators, Electric Utilities",Other,0
2001,1,NE,"Electric Generators, Electric Utilities",Total,"2,892,620"
2001,1,NE,"Combined Heat and Power, Electric Power",Other Biomass,660
2001,1,NE,"Combined Heat and Power, Electric Power",Total,660
2001,1,NE,"Combined Heat and Power, Commercial Power",Petroleum,722
2001,1,NE,"Combined Heat and Power, Commercial Power",Other Biomass,914
2001,1,NE,"Combined Heat and Power, Commercial Power",Total,"1,636"
2001,1,NE,"Combined Heat and Power, Industrial Power",Coal,"3,544"
2001,1,NE,"Combined Heat and Power, Industrial Power",Natural Gas,256
2001,1,NE,"Combined Heat and Power, Industrial Power",Total,"3,800"
2001,1,NH,Total Electric Power Industry,Coal,"382,524"
2001,1,NH,Total Electric Power Industry,Petroleum,"6,498"
2001,1,NH,Total Electric Power Industry,Natural Gas,"7,972"
2001,1,NH,Total Electric Power Industry,Nuclear,"41,921"
2001,1,NH,Total Electric Power Industry,Hydroelectric Conventional,"117,021"
2001,1,NH,Total Electric Power Industry,Wood and Wood Derived Fuels,"75,391"
2001,1,NH,Total Electric Power Industry,Other Biomass,"15,776"
2001,1,NH,Total Electric Power Industry,Other,"5,262"
2001,1,NH,Total Electric Power Industry,Total,"652,365"
2001,1,NH,"Electric Generators, Electric Utilities",Coal,"382,524"
2001,1,NH,"Electric Generators, Electric Utilities",Petroleum,432
2001,1,NH,"Electric Generators, Electric Utilities",Natural Gas,8
2001,1,NH,"Electric Generators, Electric Utilities",Nuclear,"41,921"
2001,1,NH,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"21,170"
2001,1,NH,"Electric Generators, Electric Utilities",Total,"446,055"
2001,1,NH,"Electric Generators, Independent Power Producers",Petroleum,273
2001,1,NH,"Electric Generators, Independent Power Producers",Nuclear,0
2001,1,NH,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"86,620"
2001,1,NH,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"57,125"
2001,1,NH,"Electric Generators, Independent Power Producers",Other Biomass,"15,776"
2001,1,NH,"Electric Generators, Independent Power Producers",Other,"5,262"
2001,1,NH,"Electric Generators, Independent Power Producers",Total,"165,056"
2001,1,NH,"Combined Heat and Power, Electric Power",Petroleum,6
2001,1,NH,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,"7,864"
2001,1,NH,"Combined Heat and Power, Electric Power",Total,"7,870"
2001,1,NH,"Combined Heat and Power, Commercial Power",Petroleum,"3,524"
2001,1,NH,"Combined Heat and Power, Commercial Power",Total,"3,524"
2001,1,NH,"Combined Heat and Power, Industrial Power",Petroleum,"2,263"
2001,1,NH,"Combined Heat and Power, Industrial Power",Natural Gas,"7,964"
2001,1,NH,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,"9,231"
2001,1,NH,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"10,402"
2001,1,NH,"Combined Heat and Power, Industrial Power",Total,"29,860"
2001,1,NJ,Total Electric Power Industry,Coal,"1,190,063"
2001,1,NJ,Total Electric Power Industry,Petroleum,"258,178"
2001,1,NJ,Total Electric Power Industry,Natural Gas,"877,690"
2001,1,NJ,Total Electric Power Industry,Other Gases,"40,896"
2001,1,NJ,Total Electric Power Industry,Nuclear,"2,849,594"
2001,1,NJ,Total Electric Power Industry,Hydroelectric Conventional,"1,591"
2001,1,NJ,Total Electric Power Industry,Other Biomass,"66,089"
2001,1,NJ,Total Electric Power Industry,Pumped Storage,"-12,869"
2001,1,NJ,Total Electric Power Industry,Other,"34,683"
2001,1,NJ,Total Electric Power Industry,Total,"5,305,915"
2001,1,NJ,"Electric Generators, Electric Utilities",Coal,"196,033"
2001,1,NJ,"Electric Generators, Electric Utilities",Petroleum,"11,724"
2001,1,NJ,"Electric Generators, Electric Utilities",Natural Gas,-48
2001,1,NJ,"Electric Generators, Electric Utilities",Pumped Storage,"-12,869"
2001,1,NJ,"Electric Generators, Electric Utilities",Total,"194,840"
2001,1,NJ,"Electric Generators, Independent Power Producers",Coal,"678,184"
2001,1,NJ,"Electric Generators, Independent Power Producers",Petroleum,"123,655"
2001,1,NJ,"Electric Generators, Independent Power Producers",Natural Gas,"4,761"
2001,1,NJ,"Electric Generators, Independent Power Producers",Other Gases,0
2001,1,NJ,"Electric Generators, Independent Power Producers",Nuclear,"2,849,594"
2001,1,NJ,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"1,591"
2001,1,NJ,"Electric Generators, Independent Power Producers",Other Biomass,"43,363"
2001,1,NJ,"Electric Generators, Independent Power Producers",Other,"20,876"
2001,1,NJ,"Electric Generators, Independent Power Producers",Total,"3,722,024"
2001,1,NJ,"Combined Heat and Power, Electric Power",Coal,"315,846"
2001,1,NJ,"Combined Heat and Power, Electric Power",Petroleum,"100,540"
2001,1,NJ,"Combined Heat and Power, Electric Power",Natural Gas,"641,199"
2001,1,NJ,"Combined Heat and Power, Electric Power",Other Biomass,"21,793"
2001,1,NJ,"Combined Heat and Power, Electric Power",Other,"13,806"
2001,1,NJ,"Combined Heat and Power, Electric Power",Total,"1,093,184"
2001,1,NJ,"Combined Heat and Power, Commercial Power",Petroleum,421
2001,1,NJ,"Combined Heat and Power, Commercial Power",Natural Gas,"13,762"
2001,1,NJ,"Combined Heat and Power, Commercial Power",Other Biomass,82
2001,1,NJ,"Combined Heat and Power, Commercial Power",Total,"14,265"
2001,1,NJ,"Combined Heat and Power, Industrial Power",Petroleum,"21,838"
2001,1,NJ,"Combined Heat and Power, Industrial Power",Natural Gas,"218,016"
2001,1,NJ,"Combined Heat and Power, Industrial Power",Other Gases,"40,896"
2001,1,NJ,"Combined Heat and Power, Industrial Power",Other Biomass,852
2001,1,NJ,"Combined Heat and Power, Industrial Power",Total,"281,602"
2001,1,NM,Total Electric Power Industry,Coal,"2,626,719"
2001,1,NM,Total Electric Power Industry,Petroleum,"12,957"
2001,1,NM,Total Electric Power Industry,Natural Gas,"265,444"
2001,1,NM,Total Electric Power Industry,Hydroelectric Conventional,"12,432"
2001,1,NM,Total Electric Power Industry,Other Biomass,"1,561"
2001,1,NM,Total Electric Power Industry,Total,"2,919,113"
2001,1,NM,"Electric Generators, Electric Utilities",Coal,"2,626,719"
2001,1,NM,"Electric Generators, Electric Utilities",Petroleum,"4,029"
2001,1,NM,"Electric Generators, Electric Utilities",Natural Gas,"143,895"
2001,1,NM,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"12,432"
